,Miami-Dade,obitos/100k
0,20.0,0.24464433789639875
1,25.0,0.30580542237049846
2,31.0,0.3791987237394181
3,31.0,0.3791987237394181
4,41.0,0.5015208926876175
5,47.0,0.5749141940565371
6,50.0,0.6116108447409969
7,66.0,0.8073263150581158
8,84.0,1.0275062191648747
9,93.0,1.137596171218254
10,97.0,1.186525038797534
11,109.0,1.3333116415353732
12,143.0,1.749207015959251
13,155.0,1.89599361869709
14,183.0,2.2384956917520484
15,195.0,2.385282294489888
16,198.0,2.4219789451743474
17,207.0,2.532068897227727
18,223.0,2.727784367544846
19,233.0,2.8501065364930454
20,240.0,2.935732054756785
21,270.0,3.302698561601383
22,287.0,3.510646248813322
23,295.0,3.6085039839718815
24,301.0,3.6818972853408014
25,302.0,3.6941295022356213
26,324.0,3.9632382739216596
27,338.0,4.134489310449139
28,352.0,4.305740346976618
29,358.0,4.379133648345538
30,367.0,4.489223600398917
31,369.0,4.513688034188557
32,378.0,4.623777986241937
33,407.0,4.978512276191714
34,432.0,5.284317698562213
35,454.0,5.553426470248252
36,468.0,5.724677506775731
37,482.0,5.89592854330321
38,487.0,5.95708962777731
39,490.0,5.993786278461769
40,505.0,6.177269531884069
41,518.0,6.336288351516727
42,535.0,6.544236038728666
43,548.0,6.703254858361326
44,559.0,6.837809244204346
45,561.0,6.8622736779939855
46,566.0,6.923434762468084
47,578.0,7.070221365205923
48,578.0,7.070221365205923
49,602.0,7.363794570681603
50,614.0,7.5105811734194425
51,629.0,7.694064426841741
52,631.0,7.71852886063138
53,633.0,7.74299329442102
54,633.0,7.74299329442102
55,655.0,8.01210206610706
56,669.0,8.18335310263454
57,685.0,8.379068572951656
58,700.0,8.562551826373957
59,700.0,8.562551826373957
60,702.0,8.587016260163596
61,722.0,8.831660598059996
62,731.0,8.941750550113374
63,746.0,9.125233803535673
64,760.0,9.296484840063153
65,765.0,9.357645924537252
66,765.0,9.357645924537252
67,767.0,9.382110358326893
68,774.0,9.467735876590632
69,784.0,9.59005804553883
70,798.0,9.76130908206631
71,809.0,9.89586346790933
72,822.0,10.05488228754199
73,825.0,10.09157893822645
74,826.0,10.103811155121269
75,847.0,10.360687709912487
76,850.0,10.397384360596947
77,859.0,10.507474312650325
78,864.0,10.568635397124426
79,874.0,10.690957566072626
80,884.0,10.813279735020826
81,884.0,10.813279735020826
82,902.0,11.033459639127583
83,926.0,11.327032844603263
84,935.0,11.437122796656642
85,946.0,11.571677182499661
86,947.0,11.58390939939448
87,953.0,11.6573027007634
88,975.0,11.92641147244944
89,991.0,12.122126942766558
90,1000.0,12.232216894819938
91,1018.0,12.452396798926697
92,1034.0,12.648112269243814
93,1038.0,12.697041136823094
94,1043.0,12.758202221297195
95,1051.0,12.856059956455754
96,1057.0,12.929453257824674
97,1068.0,13.064007643667694
98,1092.0,13.357580849143373
99,1118.0,13.675618488408691
100,1132.0,13.846869524936167
101,1139.0,13.932495043199907
102,1143.0,13.981423910779187
103,1175.0,14.372854851413427
104,1202.0,14.703124707573565
105,1246.0,15.24134225094564
106,1270.0,15.53491545642132
107,1274.0,15.5838443240006
108,1302.0,15.926346397055559
109,1309.0,16.0119719153193
110,1325.0,16.20768738563642
111,1342.0,16.415635072848357
112,1354.0,16.562421675586194
113,1370.0,16.758137145903312
114,1379.0,16.868227097956694
115,1388.0,16.978317050010073
116,1404.0,17.17403252032719
117,1425.0,17.43090907511841
118,1455.0,17.79787558196301
119,1515.0,18.531808595652205
120,1611.0,19.70610141755492
121,1647.0,20.146461225768437
122,1669.0,20.415569997454476
123,1694.0,20.721375419824973
124,1724.0,21.08834192666957
125,1775.0,21.712184988305392
126,1784.0,21.822274940358767
127,1809.0,22.128080362729268
128,1838.0,22.482814652679046
129,1865.0,22.813084508839186
130,1874.0,22.923174460892564
131,1909.0,23.35130205221126
132,1939.0,23.718268559055858
133,1954.0,23.901751812478157
134,1999.0,24.452201572745054
135,2047.0,25.039347983696413
136,2057.0,25.16167015264461
137,2081.0,25.455243358120292
138,2126.0,26.005693118387185
139,2166.0,26.494981794179985
140,2185.0,26.727393915181562
141,2219.0,27.14328928960544
142,2238.0,27.37570141060702
143,2243.0,27.43686249508112
144,2253.0,27.55918466402932
145,2277.0,27.852757869504998
146,2317.0,28.342046545297798
147,2346.0,28.696780835247573
148,2372.0,29.014818474512893
149,2399.0,29.34508833067303
150,2403.0,29.394017198252307
151,2437.0,29.809912572676186
152,2537.0,31.033134262158182
